,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
23,6510000,8250.0,3.0,2.0,3.0,Yes,No,,,,,furnished
24,6440000,8580.0,5.0,3.0,2.0,Yes,,,No,,,
25,6440000,5000.0,3.0,1.0,,Yes,No,No,Yes,0.0,No,
26,6300000,7200.0,3.0,2.0,1.0,Yes,No,,Yes,,,
27,6300000,9000.0,3.0,1.0,1.0,Yes,No,No,No,1.0,Yes,furnished
28,6230000,6600.0,3.0,2.0,,Yes,,No,Yes,0.0,Yes,
29,6230000,5500.0,3.0,1.0,,,No,No,No,,Yes,un-furnished
30,6160000,5450.0,4.0,2.0,1.0,,,No,Yes,0.0,Yes,semi-furnished
31,6083000,4300.0,6.0,2.0,2.0,Yes,No,,No,0.0,No,furnished
32,6083000,9620.0,3.0,1.0,1.0,,No,,No,2.0,Yes,furnished
33,5950000,7231.0,3.0,1.0,2.0,Yes,,No,Yes,,Yes,
34,5880000,7160.0,3.0,1.0,1.0,Yes,No,,No,,Yes,un-furnished
35,5873000,11460.0,3.0,1.0,3.0,,No,,No,2.0,,
36,5740000,5400.0,4.0,2.0,,Yes,No,No,Yes,2.0,No,un-furnished
37,5600000,10500.0,4.0,2.0,,,No,No,No,1.0,,
38,5600000,4700.0,4.0,1.0,2.0,Yes,,,Yes,,No,
39,5600000,10500.0,2.0,1.0,1.0,,No,No,,1.0,,
40,5600000,5136.0,3.0,1.0,,Yes,,,Yes,,Yes,un-furnished
41,5565000,4400.0,4.0,1.0,,Yes,No,No,Yes,2.0,,
42,5530000,3650.0,3.0,2.0,,Yes,No,No,No,,No,semi-furnished
43,5530000,6100.0,3.0,2.0,,Yes,No,,No,,,furnished
44,5460000,6100.0,3.0,1.0,3.0,Yes,Yes,,Yes,,,
45,5320000,7800.0,3.0,1.0,1.0,Yes,No,No,Yes,2.0,Yes,un-furnished
46,5285000,4600.0,2.0,2.0,1.0,,,,Yes,2.0,,semi-furnished
47,5250000,5500.0,3.0,2.0,1.0,Yes,,No,No,,No,
48,5250000,8400.0,3.0,1.0,2.0,,Yes,No,,2.0,,
49,5250000,3800.0,3.0,1.0,2.0,Yes,,,No,,Yes,un-furnished
50,5250000,9800.0,4.0,2.0,2.0,Yes,Yes,No,,2.0,No,semi-furnished
51,5229000,7085.0,3.0,1.0,,,Yes,No,,,,
52,5110000,3000.0,3.0,2.0,,Yes,Yes,No,,0.0,No,furnished
53,5110000,11410.0,2.0,1.0,2.0,Yes,No,No,,0.0,,
54,5075000,5720.0,2.0,1.0,2.0,,No,No,Yes,0.0,,un-furnished
55,5033000,4800.0,2.0,1.0,1.0,,,No,No,0.0,No,
56,4970000,4410.0,4.0,3.0,,Yes,No,No,No,2.0,,semi-furnished
57,4970000,7686.0,3.0,1.0,1.0,Yes,Yes,Yes,,,,semi-furnished
58,4935000,5948.0,3.0,1.0,,Yes,,No,Yes,0.0,,semi-furnished
59,4907000,4200.0,3.0,1.0,,,,No,No,1.0,No,
60,4900000,2970.0,3.0,1.0,3.0,Yes,,No,No,0.0,,semi-furnished
61,4830000,4160.0,3.0,1.0,3.0,Yes,No,No,,,No,un-furnished
62,4830000,4815.0,2.0,1.0,,,No,,Yes,0.0,Yes,semi-furnished
63,4760000,9166.0,2.0,1.0,1.0,,No,No,Yes,2.0,No,semi-furnished
64,4690000,5400.0,2.0,1.0,2.0,,,,No,,Yes,semi-furnished
65,4620000,4160.0,3.0,1.0,1.0,,,,Yes,,,
66,4620000,3880.0,3.0,2.0,,Yes,No,,No,,No,
67,4620000,2870.0,2.0,1.0,,Yes,Yes,No,No,0.0,,semi-furnished
68,4613000,4510.0,4.0,2.0,2.0,,,No,No,0.0,No,
69,4585000,4000.0,3.0,1.0,,,,No,,1.0,No,furnished
70,4550000,2550.0,3.0,1.0,,Yes,,No,,0.0,No,
71,4550000,5320.0,3.0,1.0,,,Yes,,No,0.0,,semi-furnished
72,4543000,4990.0,4.0,2.0,,,Yes,No,No,0.0,,furnished
73,4480000,4510.0,4.0,1.0,2.0,,No,No,Yes,2.0,,
74,4480000,5885.0,2.0,1.0,1.0,Yes,,,Yes,,No,
75,4480000,4000.0,3.0,1.0,,Yes,No,No,No,2.0,No,furnished
76,4480000,4040.0,3.0,1.0,,Yes,,,,,No,semi-furnished
77,4473000,6360.0,2.0,1.0,1.0,Yes,,No,,,,furnished
78,4403000,2880.0,3.0,1.0,2.0,Yes,,No,No,0.0,Yes,semi-furnished
79,4375000,3900.0,3.0,1.0,,Yes,No,,No,,No,un-furnished
80,4340000,4075.0,3.0,1.0,,Yes,,No,No,2.0,,
81,4340000,3500.0,4.0,1.0,2.0,Yes,No,No,No,,,furnished
82,4277000,3400.0,3.0,1.0,2.0,Yes,No,No,No,,,
83,4270000,6360.0,2.0,1.0,,Yes,No,No,,0.0,No,un-furnished
84,4200000,5500.0,3.0,1.0,2.0,,,No,Yes,0.0,No,un-furnished
85,4200000,5850.0,2.0,1.0,1.0,Yes,Yes,No,No,2.0,,semi-furnished
86,4200000,4410.0,2.0,1.0,,No,,No,No,1.0,No,un-furnished
87,4200000,4600.0,3.0,2.0,,Yes,,No,,,No,
88,4200000,4079.0,3.0,1.0,3.0,,No,,No,,No,
89,4165000,4046.0,3.0,1.0,2.0,Yes,,,No,1.0,No,
90,4130000,4632.0,4.0,1.0,2.0,Yes,No,,,,No,
91,4130000,5985.0,3.0,1.0,1.0,,No,No,No,,No,
92,4060000,3000.0,4.0,1.0,,Yes,No,,Yes,2.0,,semi-furnished
93,3920000,3816.0,2.0,1.0,1.0,Yes,No,,Yes,,No,furnished
94,3850000,3180.0,2.0,2.0,1.0,Yes,,Yes,No,,No,semi-furnished
95,3780000,4820.0,3.0,1.0,,Yes,No,Yes,No,0.0,,semi-furnished
96,3710000,4040.0,2.0,1.0,1.0,,No,No,,,No,semi-furnished
97,3710000,4050.0,2.0,1.0,1.0,,No,,No,0.0,,furnished
98,3703000,5450.0,2.0,1.0,,Yes,,,,,No,
99,3640000,3180.0,3.0,1.0,2.0,,,,,,No,semi-furnished
100,3640000,2850.0,3.0,2.0,2.0,No,,No,No,,Yes,
101,3570000,4500.0,2.0,1.0,1.0,No,No,No,,,No,furnished
102,3500000,4600.0,4.0,1.0,2.0,,No,,No,0.0,,semi-furnished
103,3500000,3480.0,3.0,1.0,1.0,No,No,No,,,No,
104,3500000,7350.0,2.0,1.0,,,No,No,No,1.0,No,
105,3500000,3512.0,2.0,1.0,1.0,Yes,,No,,1.0,Yes,un-furnished
106,3430000,3185.0,2.0,1.0,,Yes,,,No,2.0,No,un-furnished
107,3360000,4960.0,4.0,1.0,3.0,No,No,No,,0.0,No,semi-furnished
108,3360000,3750.0,3.0,1.0,1.0,Yes,No,,No,,No,un-furnished
109,3360000,3100.0,3.0,1.0,2.0,No,,No,No,,No,semi-furnished
110,3360000,3185.0,2.0,1.0,1.0,Yes,No,,No,2.0,No,
111,3290000,2145.0,3.0,1.0,2.0,Yes,No,No,No,0.0,,
112,3234000,3640.0,4.0,1.0,2.0,Yes,,,,,No,un-furnished
113,3220000,2684.0,2.0,1.0,,Yes,,No,Yes,1.0,,un-furnished
114,3220000,4320.0,3.0,1.0,1.0,,No,No,,,No,un-furnished
115,3150000,3500.0,2.0,1.0,1.0,,,,No,0.0,No,semi-furnished
116,3150000,3450.0,3.0,1.0,2.0,Yes,,No,No,0.0,No,semi-furnished
117,3129000,5495.0,3.0,1.0,1.0,Yes,No,No,,0.0,,un-furnished
118,3115000,3000.0,3.0,1.0,1.0,No,No,No,Yes,,,un-furnished
119,3115000,3850.0,3.0,1.0,,Yes,No,No,No,0.0,,un-furnished
120,3087000,8100.0,2.0,1.0,1.0,,,,,,No,
121,3080000,4500.0,2.0,1.0,2.0,Yes,No,Yes,,,,
122,3045000,3800.0,2.0,1.0,1.0,,,,No,,No,un-furnished
123,3010000,3240.0,3.0,1.0,,Yes,No,No,No,,No,semi-furnished
124,3010000,5076.0,3.0,1.0,1.0,No,No,,No,,No,un-furnished
125,2940000,5850.0,3.0,1.0,,,No,,No,,,
126,2852500,5200.0,4.0,1.0,,Yes,No,,No,0.0,No,un-furnished
127,2835000,3300.0,3.0,1.0,,No,No,,No,1.0,No,
128,2800000,2650.0,3.0,1.0,,Yes,No,No,,1.0,No,
129,2730000,4000.0,3.0,1.0,2.0,,No,,No,,,un-furnished
130,2660000,3934.0,2.0,1.0,,,No,No,No,0.0,No,
131,2660000,2800.0,3.0,1.0,1.0,,No,,,,,un-furnished
132,2660000,2430.0,3.0,1.0,,No,No,,No,0.0,No,
133,2590000,3600.0,2.0,1.0,1.0,,No,No,No,0.0,No,un-furnished
134,2450000,3240.0,2.0,1.0,1.0,No,Yes,,No,,No,un-furnished
135,2380000,2475.0,3.0,1.0,2.0,Yes,,No,No,0.0,,furnished
136,2345000,3640.0,2.0,1.0,1.0,Yes,,,,0.0,No,un-furnished
137,2310000,3180.0,2.0,1.0,1.0,,,No,,0.0,,
138,2233000,5300.0,3.0,1.0,1.0,No,No,No,Yes,0.0,Yes,un-furnished
139,2100000,2400.0,3.0,1.0,,Yes,,No,,0.0,,un-furnished
140,2100000,3360.0,2.0,1.0,1.0,Yes,,No,,,,
141,1890000,3649.0,2.0,1.0,,,No,No,,0.0,No,
142,1750000,3850.0,3.0,1.0,2.0,,,,No,0.0,No,
